date,store_id,item_id,units_sold,is_holiday,is_weekend,promotion_flag,medicine_name,base_price,day_of_week,month,week_of_year,trend_index,rolling_mean,rolling_std,volatility_index,lag_7,store_id_original,item_id_original,store_encoded,item_encoded
2025-01-08,S1,M101,41,0,0,0,Paracetamol,2.5,2,1,2,7,47.42857142857143,5.563486402641871,0.11488025020204454,56.0,S1,M101,0,0
2025-01-08,S1,M102,33,0,0,0,Amoxicillin,4.0,2,1,2,7,37.142857142857146,8.112306935115548,0.21268220429141885,46.0,S1,M102,0,1
2025-01-08,S1,M103,24,0,0,0,Cough Syrup,3.5,2,1,2,7,28.142857142857142,4.2594432902501635,0.1461573678027017,37.0,S1,M103,0,2
2025-01-08,S1,M104,19,0,0,0,Vitamin D,15.0,2,1,2,7,20.142857142857142,3.0237157840738176,0.14301358438186976,25.0,S1,M104,0,3
2025-01-08,S1,M105,27,0,0,0,Insulin,6.0,2,1,2,7,24.857142857142858,2.9113897843110026,0.1125951850286023,33.0,S1,M105,0,4
2025-01-08,S1,M106,21,0,0,0,Aspirin,2.0,2,1,2,7,30.285714285714285,7.204495950776979,0.23028069249058836,42.0,S1,M106,0,5
2025-01-08,S1,M107,20,0,0,0,Metformin,5.0,2,1,2,7,20.714285714285715,3.728908942943216,0.171726069740806,31.0,S1,M107,0,6
2025-01-08,S1,M108,25,0,0,0,Zinc Tablets,3.0,2,1,2,7,24.571428571428573,5.798193478924933,0.22674499638253925,37.0,S1,M108,0,7
2025-01-08,S2,M101,44,0,0,0,Paracetamol,2.5,2,1,2,7,49.857142857142854,6.33583910329619,0.12458110596368914,74.0,S2,M101,1,0
2025-01-08,S2,M102,37,0,0,0,Amoxicillin,4.0,2,1,2,7,41.142857142857146,7.335497516155518,0.17406265292572412,58.0,S2,M102,1,1
2025-01-08,S2,M103,30,0,0,0,Cough Syrup,3.5,2,1,2,7,32.42857142857143,7.546680127869533,0.22575538844054158,42.0,S2,M103,1,2
2025-01-08,S2,M104,21,0,0,0,Vitamin D,15.0,2,1,2,7,23.142857142857142,3.579039509354962,0.14824424003245407,28.0,S2,M104,1,3
2025-01-08,S2,M105,29,0,0,0,Insulin,6.0,2,1,2,7,30.428571428571427,3.207134902949093,0.10204520145747115,38.0,S2,M105,1,4
2025-01-08,S2,M106,31,0,0,0,Aspirin,2.0,2,1,2,7,34.142857142857146,3.7161167647860367,0.1057431599735864,47.0,S2,M106,1,5
2025-01-08,S2,M107,25,0,0,0,Metformin,5.0,2,1,2,7,25.428571428571427,4.649628761422529,0.17593189908085247,34.0,S2,M107,1,6
2025-01-08,S2,M108,25,0,0,0,Zinc Tablets,3.0,2,1,2,7,30.428571428571427,5.826867164470196,0.18540031886950623,42.0,S2,M108,1,7
2025-01-08,S3,M101,46,0,0,0,Paracetamol,2.5,2,1,2,7,51.857142857142854,8.434622525214579,0.15957393966622177,68.0,S3,M101,2,0
2025-01-08,S3,M102,31,0,0,0,Amoxicillin,4.0,2,1,2,7,36.714285714285715,5.794085654478071,0.15363105902025187,54.0,S3,M102,2,1
2025-01-08,S3,M103,28,0,0,0,Cough Syrup,3.5,2,1,2,7,31.428571428571427,5.623081683476385,0.17339899464464623,36.0,S3,M103,2,2
2025-01-08,S3,M104,19,0,0,0,Vitamin D,15.0,2,1,2,7,21.714285714285715,3.09377254681539,0.13620382281577187,32.0,S3,M104,2,3
2025-01-08,S3,M105,24,0,0,0,Insulin,6.0,2,1,2,7,28.0,3.265986323710902,0.11262021805899662,35.0,S3,M105,2,4
2025-01-08,S3,M106,34,0,0,0,Aspirin,2.0,2,1,2,7,33.857142857142854,5.871642911161272,0.16844877204151193,47.0,S3,M106,2,5
2025-01-08,S3,M107,22,0,0,0,Metformin,5.0,2,1,2,7,24.285714285714285,3.683941988065037,0.14569262099692237,31.0,S3,M107,2,6
2025-01-08,S3,M108,29,0,0,0,Zinc Tablets,3.0,2,1,2,7,31.0,5.477225575051659,0.17116329922036436,42.0,S3,M108,2,7
2025-01-08,S4,M101,43,0,0,0,Paracetamol,2.5,2,1,2,7,39.857142857142854,5.639993245521117,0.13804179272254483,54.0,S4,M101,3,0
2025-01-08,S4,M102,31,0,0,0,Amoxicillin,4.0,2,1,2,7,33.714285714285715,5.7652489311473145,0.1660771297038321,41.0,S4,M102,3,1
2025-01-08,S4,M103,21,0,0,0,Cough Syrup,3.5,2,1,2,7,27.571428571428573,6.320789582985735,0.22122763540450072,31.0,S4,M103,3,2
2025-01-08,S4,M104,23,0,0,0,Vitamin D,15.0,2,1,2,7,18.714285714285715,3.147183169877773,0.15963972600829282,22.0,S4,M104,3,3
2025-01-08,S4,M105,20,0,0,0,Insulin,6.0,2,1,2,7,23.428571428571427,3.359421718944242,0.1375201873252029,29.0,S4,M105,3,4
2025-01-08,S4,M106,30,0,0,0,Aspirin,2.0,2,1,2,7,27.285714285714285,3.6384193323605833,0.12863098649759638,37.0,S4,M106,3,5
2025-01-08,S4,M107,18,0,0,0,Metformin,5.0,2,1,2,7,19.142857142857142,2.609506430251478,0.1295499646224138,23.0,S4,M107,3,6
2025-01-08,S4,M108,25,0,0,0,Zinc Tablets,3.0,2,1,2,7,24.714285714285715,4.23140188409963,0.1645545177149856,30.0,S4,M108,3,7
2025-01-08,S5,M102,44,0,0,0,Amoxicillin,4.0,2,1,2,7,48.0,10.279429296739512,0.20978427136203084,68.0,S5,M102,4,1
2025-01-08,S5,M103,39,0,0,0,Cough Syrup,3.5,2,1,2,7,39.857142857142854,4.775931721614516,0.11689343374580984,58.0,S5,M103,4,2
2025-01-08,S5,M104,25,0,0,0,Vitamin D,15.0,2,1,2,7,27.285714285714285,4.535573676110728,0.1603485643069449,35.0,S5,M104,4,3
2025-01-08,S5,M105,30,0,0,0,Insulin,6.0,2,1,2,7,34.857142857142854,4.705619740571604,0.1312324230438296,46.0,S5,M105,4,4
2025-01-08,S5,M106,41,0,0,0,Aspirin,2.0,2,1,2,7,41.0,7.916228058025281,0.18848162042917335,55.0,S5,M106,4,5
2025-01-08,S5,M107,23,0,0,0,Metformin,5.0,2,1,2,7,30.0,4.795831523312717,0.15470424268750702,39.0,S5,M107,4,6
2025-01-08,S5,M108,27,0,0,0,Zinc Tablets,3.0,2,1,2,7,34.714285714285715,5.313952882562588,0.14879068071175247,45.0,S5,M108,4,7
2025-01-09,S1,M101,45,0,0,0,Paracetamol,2.5,3,1,2,8,47.714285714285715,5.34522483824849,0.10972602307254965,43.0,S1,M101,0,0
